report_date,region,class,type,volume,pct_chg
2018-04-02,Northwest (NW),Misc,,0.0,
2018-04-02,Northwest (NW),Small,,0.4,92.5%
2018-04-02,Northwest (NW),Total,,113.7,-1.2%
2018-04-02,Northwest (NW),Ungraded,,22.9,51.6%
2018-04-02,South Central (SC),,Cage-Free,11.4,24.4%
2018-04-02,South Central (SC),,Organic,11.5,6.9%
2018-04-02,South Central (SC),,Specialty,2.3,-33.2%
2018-04-02,South Central (SC),Extra Large,,23.9,10.7%
2018-04-02,South Central (SC),Jumbo,,9.1,-30.9%
2018-04-02,South Central (SC),Large,,134.8,-8.7%
2018-04-02,South Central (SC),Medium,,30.9,30.9%
2018-04-02,South Central (SC),Misc,,22.7,35.4%
2018-04-02,South Central (SC),Small,,3.8,32.5%
2018-04-02,South Central (SC),Total,,252.2,-2.0%
2018-04-02,South Central (SC),Ungraded,,26.9,-14.5%
2018-04-02,Southeast (SE),,Cage-Free,9.2,7.4%
2018-04-02,Southeast (SE),,Organic,9.6,1.2%
2018-04-02,Southeast (SE),,Specialty,13.9,-8.8%
2018-04-02,Southeast (SE),Extra Large,,22.0,-7.1%
2018-04-02,Southeast (SE),Jumbo,,12.8,25.4%
2018-04-02,Southeast (SE),Large,,139.5,11.5%
2018-04-02,Southeast (SE),Medium,,18.4,6.4%
2018-04-02,Southeast (SE),Misc,,10.8,37.0%
2018-04-02,Southeast (SE),Small,,2.1,32.9%
2018-04-02,Southeast (SE),Total,,241.4,10.3%
2018-04-02,Southeast (SE),Ungraded,,35.7,9.0%
2018-04-02,Southwest (SW),,Cage-Free,5.4,-3.0%
2018-04-02,Southwest (SW),,Organic,7.1,-10.8%
2018-04-02,Southwest (SW),,Specialty,4.4,-1.8%
2018-04-02,Southwest (SW),Extra Large,,20.6,-5.8%
2018-04-02,Southwest (SW),Jumbo,,6.4,1.9%
2018-04-02,Southwest (SW),Large,,77.1,-9.0%
2018-04-02,Southwest (SW),Medium,,29.0,-7.0%
2018-04-02,Southwest (SW),Misc,,4.0,-21.0%
2018-04-02,Southwest (SW),Small,,1.8,-31.0%
2018-04-02,Southwest (SW),Total,,156.1,-6.1%
2018-04-02,Southwest (SW),Ungraded,,17.1,18.0%
2018-04-09,,Breaking Stock,,257.4,-0.6%
2018-04-09,6-Area,,Cage-Free,65.8,5.6%
2018-04-09,6-Area,,Organic,78.6,2.7%
2018-04-09,6-Area,,Specialty,38.5,20.0%
2018-04-09,6-Area,Extra Large,,171.3,15.4%
2018-04-09,6-Area,Jumbo,,59.3,0.0%
2018-04-09,6-Area,Large,,661.0,5.5%
2018-04-09,6-Area,Medium,,157.7,-0.2%
2018-04-09,6-Area,Misc,,69.8,7.2%
2018-04-09,6-Area,Small,,11.2,-23.6%
2018-04-09,6-Area,Total,,1352.2,4.8%
2018-04-09,6-Area,Ungraded,,222.0,1.9%
2018-04-09,Midwest (MW),,Cage-Free,36.8,7.7%
2018-04-09,Midwest (MW),,Organic,39.8,0.3%
2018-04-09,Midwest (MW),,Specialty,1.6,17.4%
2018-04-09,Midwest (MW),Extra Large,,47.6,28.0%
2018-04-09,Midwest (MW),Jumbo,,13.2,5.4%
2018-04-09,Midwest (MW),Large,,156.7,13.4%
2018-04-09,Midwest (MW),Medium,,57.5,3.5%
2018-04-09,Midwest (MW),Misc,,33.1,38.1%
2018-04-09,Midwest (MW),Small,,3.0,-16.5%
2018-04-09,Midwest (MW),Total,,419.0,13.5%
2018-04-09,Midwest (MW),Ungraded,,107.8,9.8%
2018-04-09,Northeast (NE),,Cage-Free,1.4,13.4%
2018-04-09,Northeast (NE),,Organic,7.3,-2.5%
2018-04-09,Northeast (NE),,Specialty,7.5,-0.7%
2018-04-09,Northeast (NE),Extra Large,,44.9,9.4%
2018-04-09,Northeast (NE),Jumbo,,15.2,6.8%
2018-04-09,Northeast (NE),Large,,63.4,3.0%
2018-04-09,Northeast (NE),Medium,,15.5,-9.7%
2018-04-09,Northeast (NE),Misc,,3.2,-9.8%
2018-04-09,Northeast (NE),Small,,2.3,-17.1%
2018-04-09,Northeast (NE),Total,,165.9,5.4%
2018-04-09,Northeast (NE),Ungraded,,21.4,26.6%
2018-04-09,Northwest (NW),,Cage-Free,0.7,-13.1%
2018-04-09,Northwest (NW),,Organic,0.9,-12.7%
2018-04-09,Northwest (NW),,Specialty,1.7,-33.5%
2018-04-09,Northwest (NW),Extra Large,,4.3,19.9%
2018-04-09,Northwest (NW),Jumbo,,4.4,-0.9%
2018-04-09,Northwest (NW),Large,,78.4,3.7%
2018-04-09,Northwest (NW),Medium,,9.3,34.3%
2018-04-09,Northwest (NW),Misc,,0.0,
2018-04-09,Northwest (NW),Small,,0.2,-60.5%
2018-04-09,Northwest (NW),Total,,112.2,-1.3%
2018-04-09,Northwest (NW),Ungraded,,15.7,-31.3%
2018-04-09,South Central (SC),,Cage-Free,12.0,5.1%
2018-04-09,South Central (SC),,Organic,12.0,4.6%
2018-04-09,South Central (SC),,Specialty,3.3,42.1%
2018-04-09,South Central (SC),Extra Large,,22.8,-4.7%
2018-04-09,South Central (SC),Jumbo,,9.4,3.4%
2018-04-09,South Central (SC),Large,,132.3,-1.9%
2018-04-09,South Central (SC),Medium,,29.9,-3.4%
2018-04-09,South Central (SC),Misc,,19.8,-12.8%
2018-04-09,South Central (SC),Small,,2.6,-31.0%
2018-04-09,South Central (SC),Total,,239.6,-5.0%
2018-04-09,South Central (SC),Ungraded,,22.9,-14.9%
2018-04-09,Southeast (SE),,Cage-Free,10.0,8.6%
2018-04-09,Southeast (SE),,Organic,10.0,4.0%
2018-04-09,Southeast (SE),,Specialty,19.1,37.1%
2018-04-09,Southeast (SE),Extra Large,,29.6,34.7%
2018-04-09,Southeast (SE),Jumbo,,11.3,-12.1%
2018-04-09,Southeast (SE),Large,,153.6,10.1%
2018-04-09,Southeast (SE),Medium,,18.6,1.0%
2018-04-09,Southeast (SE),Misc,,9.4,-12.8%
2018-04-09,Southeast (SE),Small,,1.9,-9.0%
2018-04-09,Southeast (SE),Total,,259.9,7.7%
2018-04-09,Southeast (SE),Ungraded,,35.5,-0.5%
2018-04-09,Southwest (SW),,Cage-Free,4.9,-8.6%
2018-04-09,Southwest (SW),,Organic,8.6,20.6%
2018-04-09,Southwest (SW),,Specialty,5.4,22.1%
2018-04-09,Southwest (SW),Extra Large,,22.1,7.1%
2018-04-09,Southwest (SW),Jumbo,,5.9,-7.3%
2018-04-09,Southwest (SW),Large,,76.7,-0.5%
2018-04-09,Southwest (SW),Medium,,26.9,-7.4%
2018-04-09,Southwest (SW),Misc,,4.2,4.9%
2018-04-09,Southwest (SW),Small,,1.1,-37.1%
2018-04-09,Southwest (SW),Total,,155.5,-0.4%
2018-04-09,Southwest (SW),Ungraded,,18.6,9.0%
2018-04-16,,Breaking Stock,,286.4,11.3%
2018-04-16,6-Area,,Cage-Free,64.1,-2.6%
2018-04-16,6-Area,,Organic,80.6,2.5%
2018-04-16,6-Area,,Specialty,42.3,9.8%
2018-04-16,6-Area,Extra Large,,188.1,9.8%
2018-04-16,6-Area,Jumbo,,60.6,2.2%
2018-04-16,6-Area,Large,,695.5,5.2%
2018-04-16,6-Area,Medium,,152.3,-3.4%
2018-04-16,6-Area,Misc,,70.0,0.2%
2018-04-16,6-Area,Small,,13.0,16.0%
2018-04-16,6-Area,Total,,1412.6,4.5%
2018-04-16,6-Area,Ungraded,,233.1,5.0%
2018-04-16,Midwest (MW),,Cage-Free,38.2,3.9%
2018-04-16,Midwest (MW),,Organic,39.7,-0.2%
2018-04-16,Midwest (MW),,Specialty,2.2,40.5%
2018-04-16,Midwest (MW),Extra Large,,47.9,0.6%
2018-04-16,Midwest (MW),Jumbo,,8.9,-32.3%
2018-04-16,Midwest (MW),Large,,165.4,5.5%
2018-04-16,Midwest (MW),Medium,,55.9,-2.9%
2018-04-16,Midwest (MW),Misc,,31.0,-6.3%
2018-04-16,Midwest (MW),Small,,2.5,-16.4%
2018-04-16,Midwest (MW),Total,,428.1,2.2%
2018-04-16,Midwest (MW),Ungraded,,116.6,8.2%
2018-04-16,Northeast (NE),,Cage-Free,0.9,-33.4%
2018-04-16,Northeast (NE),,Organic,8.1,11.4%
2018-04-16,Northeast (NE),,Specialty,9.5,27.3%
2018-04-16,Northeast (NE),Extra Large,,53.6,19.5%
2018-04-16,Northeast (NE),Jumbo,,16.8,10.3%
2018-04-16,Northeast (NE),Large,,69.4,9.5%
2018-04-16,Northeast (NE),Medium,,15.7,1.6%
2018-04-16,Northeast (NE),Misc,,5.4,70.3%
2018-04-16,Northeast (NE),Small,,3.2,37.9%
2018-04-16,Northeast (NE),Total,,193.4,16.6%
2018-04-16,Northeast (NE),Ungraded,,29.3,36.8%
2018-04-16,Northwest (NW),,Cage-Free,0.7,0.6%
2018-04-16,Northwest (NW),,Organic,1.3,43.6%
2018-04-16,Northwest (NW),,Specialty,3.0,77.7%
2018-04-16,Northwest (NW),Extra Large,,5.0,16.6%
2018-04-16,Northwest (NW),Jumbo,,5.0,12.9%
2018-04-16,Northwest (NW),Large,,77.8,-0.8%
2018-04-16,Northwest (NW),Medium,,11.4,22.7%
2018-04-16,Northwest (NW),Misc,,0.0,
2018-04-16,Northwest (NW),Small,,2.3,"1,064.0%"
2018-04-16,Northwest (NW),Total,,114.1,1.7%
2018-04-16,Northwest (NW),Ungraded,,12.6,-19.8%
2018-04-16,South Central (SC),,Cage-Free,11.2,-6.4%
2018-04-16,South Central (SC),,Organic,9.7,-19.1%
2018-04-16,South Central (SC),,Specialty,2.8,-15.0%
2018-04-16,South Central (SC),Extra Large,,21.9,-3.9%
2018-04-16,South Central (SC),Jumbo,,9.7,3.3%
2018-04-16,South Central (SC),Large,,145.5,10.0%
2018-04-16,South Central (SC),Medium,,28.2,-5.8%
2018-04-16,South Central (SC),Misc,,19.6,-1.1%
2018-04-16,South Central (SC),Small,,1.9,-26.5%
2018-04-16,South Central (SC),Total,,243.8,1.8%
2018-04-16,South Central (SC),Ungraded,,17.1,-25.5%
2018-04-16,Southeast (SE),,Cage-Free,8.0,-20.1%
2018-04-16,Southeast (SE),,Organic,8.0,-19.8%
2018-04-16,Southeast (SE),,Specialty,19.6,2.7%
2018-04-16,Southeast (SE),Extra Large,,36.1,22.1%
2018-04-16,Southeast (SE),Jumbo,,11.1,-1.6%
2018-04-16,Southeast (SE),Large,,148.4,-3.4%
2018-04-16,Southeast (SE),Medium,,18.5,-0.6%
2018-04-16,Southeast (SE),Misc,,9.1,-3.7%
2018-04-16,Southeast (SE),Small,,2.1,8.0%
2018-04-16,Southeast (SE),Total,,260.3,0.1%
2018-04-16,Southeast (SE),Ungraded,,35.0,-1.3%
2018-04-16,Southwest (SW),,Cage-Free,5.0,1.5%
2018-04-16,Southwest (SW),,Organic,13.7,59.0%
2018-04-16,Southwest (SW),,Specialty,5.0,-7.0%
2018-04-16,Southwest (SW),Extra Large,,23.5,6.3%
2018-04-16,Southwest (SW),Jumbo,,9.1,54.5%
2018-04-16,Southwest (SW),Large,,89.1,16.2%
2018-04-16,Southwest (SW),Medium,,22.7,-15.7%
2018-04-16,Southwest (SW),Misc,,4.9,16.1%
2018-04-16,Southwest (SW),Small,,1.0,-7.3%
2018-04-16,Southwest (SW),Total,,172.9,11.2%
2018-04-16,Southwest (SW),Ungraded,,22.6,21.5%
2018-04-23,,Breaking Stock,,305.8,6.8%
2018-04-23,6-Area,,Cage-Free,66.4,3.6%
2018-04-23,6-Area,,Organic,92.0,14.1%
2018-04-23,6-Area,,Specialty,30.2,-28.5%
2018-04-23,6-Area,Extra Large,,166.7,-11.4%
2018-04-23,6-Area,Jumbo,,56.7,-6.5%
2018-04-23,6-Area,Large,,708.7,1.9%
2018-04-23,6-Area,Medium,,152.7,0.3%
2018-04-23,6-Area,Misc,,63.4,-9.5%
2018-04-23,6-Area,Small,,13.1,0.7%
2018-04-23,6-Area,Total,,1394.5,-1.3%
2018-04-23,6-Area,Ungraded,,233.2,0.1%
2018-04-23,Midwest (MW),,Cage-Free,34.7,-9.1%
2018-04-23,Midwest (MW),,Organic,41.4,4.2%
2018-04-23,Midwest (MW),,Specialty,1.1,-47.9%
2018-04-23,Midwest (MW),Extra Large,,45.1,-5.9%
2018-04-23,Midwest (MW),Jumbo,,9.2,3.8%
2018-04-23,Midwest (MW),Large,,146.4,-11.5%
2018-04-23,Midwest (MW),Medium,,54.2,-3.1%
2018-04-23,Midwest (MW),Misc,,34.2,10.2%
2018-04-23,Midwest (MW),Small,,3.0,21.0%
2018-04-23,Midwest (MW),Total,,406.5,-5.1%
2018-04-23,Midwest (MW),Ungraded,,114.4,-1.9%
2018-04-23,Northeast (NE),,Cage-Free,1.8,105.3%
2018-04-23,Northeast (NE),,Organic,8.5,4.5%
2018-04-23,Northeast (NE),,Specialty,9.4,-0.8%
2018-04-23,Northeast (NE),Extra Large,,38.6,-27.9%
2018-04-23,Northeast (NE),Jumbo,,15.1,-10.4%
2018-04-23,Northeast (NE),Large,,65.8,-5.2%
2018-04-23,Northeast (NE),Medium,,16.0,1.6%
2018-04-23,Northeast (NE),Misc,,3.5,-35.8%
2018-04-23,Northeast (NE),Small,,2.2,-30.4%
2018-04-23,Northeast (NE),Total,,166.5,-13.9%
2018-04-23,Northeast (NE),Ungraded,,25.3,-13.5%
2018-04-23,Northwest (NW),,Cage-Free,0.7,0.6%
2018-04-23,Northwest (NW),,Organic,1.2,-7.4%
2018-04-23,Northwest (NW),,Specialty,2.5,-15.0%
2018-04-23,Northwest (NW),Extra Large,,4.2,-16.7%
2018-04-23,Northwest (NW),Jumbo,,4.8,-4.0%
2018-04-23,Northwest (NW),Large,,73.0,-6.2%
2018-04-23,Northwest (NW),Medium,,10.3,-9.6%
2018-04-23,Northwest (NW),Misc,,0.0,
2018-04-23,Northwest (NW),Small,,3.8,65.7%
2018-04-23,Northwest (NW),Total,,104.7,-8.2%
2018-04-23,Northwest (NW),Ungraded,,8.6,-31.4%
2018-04-23,South Central (SC),,Cage-Free,13.1,17.4%
2018-04-23,South Central (SC),,Organic,9.4,-3.0%
2018-04-23,South Central (SC),,Specialty,2.3,-18.1%
2018-04-23,South Central (SC),Extra Large,,23.2,6.0%
2018-04-23,South Central (SC),Jumbo,,10.4,7.5%
2018-04-23,South Central (SC),Large,,145.0,-0.4%
2018-04-23,South Central (SC),Medium,,27.0,-4.4%
2018-04-23,South Central (SC),Misc,,15.2,-22.3%
2018-04-23,South Central (SC),Small,,2.3,18.8%
2018-04-23,South Central (SC),Total,,244.3,0.2%
2018-04-23,South Central (SC),Ungraded,,21.2,24.2%
2018-04-23,Southeast (SE),,Cage-Free,8.0,-0.2%
2018-04-23,Southeast (SE),,Organic,16.8,109.7%
2018-04-23,Southeast (SE),,Specialty,9.8,-50.0%
2018-04-23,Southeast (SE),Extra Large,,29.0,-19.8%
2018-04-23,Southeast (SE),Jumbo,,10.3,-7.6%
2018-04-23,Southeast (SE),Large,,156.7,5.6%
2018-04-23,Southeast (SE),Medium,,15.2,-17.8%
2018-04-23,Southeast (SE),Misc,,5.6,-38.1%
2018-04-23,Southeast (SE),Small,,1.4,-32.3%
2018-04-23,Southeast (SE),Total,,258.0,-0.9%
2018-04-23,Southeast (SE),Ungraded,,39.8,13.8%
2018-04-23,Southwest (SW),,Cage-Free,8.0,59.7%
2018-04-23,Southwest (SW),,Organic,14.8,7.8%
2018-04-23,Southwest (SW),,Specialty,5.0,0.3%
2018-04-23,Southwest (SW),Extra Large,,26.7,13.6%
2018-04-23,Southwest (SW),Jumbo,,6.9,-24.2%
2018-04-23,Southwest (SW),Large,,121.8,36.7%
2018-04-23,Southwest (SW),Medium,,30.1,32.6%
2018-04-23,Southwest (SW),Misc,,4.9,-0.2%
2018-04-23,Southwest (SW),Small,,0.3,-65.4%
2018-04-23,Southwest (SW),Total,,214.5,24.1%
2018-04-23,Southwest (SW),Ungraded,,23.7,5.1%
2018-04-30,,Breaking Stock,,273.8,-10.5%
2018-04-30,6-Area,,Cage-Free,69.6,4.8%
2018-04-30,6-Area,,Organic,75.8,-17.6%
2018-04-30,6-Area,,Specialty,42.0,39.1%
2018-04-30,6-Area,Extra Large,,176.7,6.0%
2018-04-30,6-Area,Jumbo,,57.8,2.0%
2018-04-30,6-Area,Large,,742.1,4.7%
2018-04-30,6-Area,Medium,,156.8,2.7%
2018-04-30,6-Area,Misc,,64.6,1.9%
2018-04-30,6-Area,Small,,15.7,19.8%
2018-04-30,6-Area,Total,,1445.7,3.7%
2018-04-30,6-Area,Ungraded,,232.0,-0.5%
2018-04-30,Midwest (MW),,Cage-Free,34.3,-1.1%
2018-04-30,Midwest (MW),,Organic,39.4,-4.8%
2018-04-30,Midwest (MW),,Specialty,1.4,24.2%
2018-04-30,Midwest (MW),Extra Large,,51.7,14.7%
2018-04-30,Midwest (MW),Jumbo,,10.0,8.6%
2018-04-30,Midwest (MW),Large,,154.9,5.8%
2018-04-30,Midwest (MW),Medium,,50.2,-7.3%
2018-04-30,Midwest (MW),Misc,,26.3,-23.1%
2018-04-30,Midwest (MW),Small,,4.3,42.9%
2018-04-30,Midwest (MW),Total,,409.4,0.7%
2018-04-30,Midwest (MW),Ungraded,,112.0,-2.1%
2018-04-30,Northeast (NE),,Cage-Free,1.6,-10.4%
2018-04-30,Northeast (NE),,Organic,9.4,10.9%
2018-04-30,Northeast (NE),,Specialty,11.8,25.1%
2018-04-30,Northeast (NE),Extra Large,,37.1,-3.9%
2018-04-30,Northeast (NE),Jumbo,,15.3,1.5%
2018-04-30,Northeast (NE),Large,,73.2,11.2%
2018-04-30,Northeast (NE),Medium,,21.1,31.6%
2018-04-30,Northeast (NE),Misc,,4.2,20.2%
2018-04-30,Northeast (NE),Small,,4.6,107.2%
2018-04-30,Northeast (NE),Total,,180.1,8.2%
2018-04-30,Northeast (NE),Ungraded,,24.7,-2.4%
2018-04-30,Northwest (NW),,Cage-Free,2.2,211.4%
2018-04-30,Northwest (NW),,Organic,1.7,41.0%
2018-04-30,Northwest (NW),,Specialty,3.1,24.9%
2018-04-30,Northwest (NW),Extra Large,,9.1,116.0%
2018-04-30,Northwest (NW),Jumbo,,6.3,31.3%
2018-04-30,Northwest (NW),Large,,84.6,15.9%
2018-04-30,Northwest (NW),Medium,,11.3,10.0%
2018-04-30,Northwest (NW),Misc,,0.0,
2018-04-30,Northwest (NW),Small,,3.4,-10.8%
2018-04-30,Northwest (NW),Total,,129.3,23.5%
2018-04-30,Northwest (NW),Ungraded,,14.6,70.1%
2018-04-30,South Central (SC),,Cage-Free,15.2,15.7%
2018-04-30,South Central (SC),,Organic,5.2,-45.2%
2018-04-30,South Central (SC),,Specialty,2.1,-7.1%
2018-04-30,South Central (SC),Extra Large,,25.9,11.8%
2018-04-30,South Central (SC),Jumbo,,10.2,-2.2%
2018-04-30,South Central (SC),Large,,168.2,16.0%
2018-04-30,South Central (SC),Medium,,30.1,11.3%
2018-04-30,South Central (SC),Misc,,20.5,35.1%
2018-04-30,South Central (SC),Small,,2.1,-10.8%
2018-04-30,South Central (SC),Total,,278.0,13.8%
2018-04-30,South Central (SC),Ungraded,,21.1,-0.4%
2018-04-30,Southeast (SE),,Cage-Free,8.9,10.8%
2018-04-30,Southeast (SE),,Organic,7.1,-57.6%
2018-04-30,Southeast (SE),,Specialty,18.1,84.5%
2018-04-30,Southeast (SE),Extra Large,,28.0,-3.5%
2018-04-30,Southeast (SE),Jumbo,,9.3,-9.3%
2018-04-30,Southeast (SE),Large,,153.4,-2.1%
2018-04-30,Southeast (SE),Medium,,15.6,2.9%
2018-04-30,Southeast (SE),Misc,,8.5,51.3%
2018-04-30,Southeast (SE),Small,,0.8,-39.5%
2018-04-30,Southeast (SE),Total,,251.5,-2.5%
2018-04-30,Southeast (SE),Ungraded,,35.8,-10.0%
2018-04-30,Southwest (SW),,Cage-Free,7.4,-6.9%
2018-04-30,Southwest (SW),,Organic,13.0,-12.3%
2018-04-30,Southwest (SW),,Specialty,5.5,10.7%
2018-04-30,Southwest (SW),Extra Large,,24.9,-6.8%
2018-04-30,Southwest (SW),Jumbo,,6.7,-3.0%
2018-04-30,Southwest (SW),Large,,107.9,-11.4%
2018-04-30,Southwest (SW),Medium,,28.5,-5.5%
2018-04-30,Southwest (SW),Misc,,5.1,3.1%
2018-04-30,Southwest (SW),Small,,0.6,85.3%
2018-04-30,Southwest (SW),Total,,197.3,-8.0%
2018-04-30,Southwest (SW),Ungraded,,23.7,0.2%
2018-05-07,,Breaking Stock,,281.8,2.9%
2018-05-07,6-Area,,Cage-Free,68.8,-1.1%
2018-05-07,6-Area,,Organic,77.9,2.8%
2018-05-07,6-Area,,Specialty,44.8,6.6%
2018-05-07,6-Area,Extra Large,,165.5,-6.3%
2018-05-07,6-Area,Jumbo,,57.4,-0.7%
2018-05-07,6-Area,Large,,725.0,-2.3%
2018-05-07,6-Area,Medium,,153.4,-2.2%
2018-05-07,6-Area,Misc,,54.8,-15.2%
2018-05-07,6-Area,Small,,18.2,16.2%
2018-05-07,6-Area,Total,,1423.3,-1.6%
2018-05-07,6-Area,Ungraded,,249.0,7.3%
2018-05-07,Midwest (MW),,Cage-Free,33.6,-2.1%
2018-05-07,Midwest (MW),,Organic,39.2,-0.6%
2018-05-07,Midwest (MW),,Specialty,0.3,-79.9%
2018-05-07,Midwest (MW),Extra Large,,44.1,-14.6%
2018-05-07,Midwest (MW),Jumbo,,13.3,32.8%
2018-05-07,Midwest (MW),Large,,158.4,2.3%
2018-05-07,Midwest (MW),Medium,,44.6,-11.2%
2018-05-07,Midwest (MW),Misc,,25.4,-3.4%
2018-05-07,Midwest (MW),Small,,6.1,42.8%
2018-05-07,Midwest (MW),Total,,403.5,-1.4%
2018-05-07,Midwest (MW),Ungraded,,111.5,-0.4%
2018-05-07,Northeast (NE),,Cage-Free,1.6,2.1%
2018-05-07,Northeast (NE),,Organic,10.0,6.5%
2018-05-07,Northeast (NE),,Specialty,11.0,-6.7%
2018-05-07,Northeast (NE),Extra Large,,30.6,-17.5%
2018-05-07,Northeast (NE),Jumbo,,12.4,-18.8%
2018-05-07,Northeast (NE),Large,,80.1,9.4%
2018-05-07,Northeast (NE),Medium,,23.6,11.7%
2018-05-07,Northeast (NE),Misc,,4.1,-2.6%
2018-05-07,Northeast (NE),Small,,5.3,16.2%
2018-05-07,Northeast (NE),Total,,182.4,1.3%
2018-05-07,Northeast (NE),Ungraded,,26.3,6.5%
2018-05-07,Northwest (NW),,Cage-Free,2.9,30.6%
2018-05-07,Northwest (NW),,Organic,1.8,4.2%
2018-05-07,Northwest (NW),,Specialty,5.3,70.7%
2018-05-07,Northwest (NW),Extra Large,,8.8,-3.5%
2018-05-07,Northwest (NW),Jumbo,,6.2,-2.1%
2018-05-07,Northwest (NW),Large,,72.6,-14.2%
2018-05-07,Northwest (NW),Medium,,12.7,12.5%
2018-05-07,Northwest (NW),Misc,,0.0,
2018-05-07,Northwest (NW),Small,,3.6,5.1%
2018-05-07,Northwest (NW),Total,,116.4,-10.0%
2018-05-07,Northwest (NW),Ungraded,,12.5,-14.1%
2018-05-07,South Central (SC),,Cage-Free,14.0,-8.1%
2018-05-07,South Central (SC),,Organic,5.9,13.4%
2018-05-07,South Central (SC),,Specialty,3.3,58.9%
2018-05-07,South Central (SC),Extra Large,,25.4,-1.9%
2018-05-07,South Central (SC),Jumbo,,9.9,-3.1%
2018-05-07,South Central (SC),Large,,154.6,-8.1%
2018-05-07,South Central (SC),Medium,,28.0,-7.1%
2018-05-07,South Central (SC),Misc,,11.3,-44.8%
2018-05-07,South Central (SC),Small,,2.6,22.5%
2018-05-07,South Central (SC),Total,,266.5,-4.2%
2018-05-07,South Central (SC),Ungraded,,34.7,64.5%
2018-05-07,Southeast (SE),,Cage-Free,10.3,15.2%
2018-05-07,Southeast (SE),,Organic,7.7,8.5%
2018-05-07,Southeast (SE),,Specialty,19.4,7.0%
2018-05-07,Southeast (SE),Extra Large,,32.0,14.4%
2018-05-07,Southeast (SE),Jumbo,,9.5,1.9%
2018-05-07,Southeast (SE),Large,,158.5,3.4%
2018-05-07,Southeast (SE),Medium,,18.8,20.5%
2018-05-07,Southeast (SE),Misc,,10.4,22.3%
2018-05-07,Southeast (SE),Small,,0.5,-39.8%
2018-05-07,Southeast (SE),Total,,268.5,6.8%
2018-05-07,Southeast (SE),Ungraded,,38.8,8.3%
2018-05-07,Southwest (SW),,Cage-Free,6.5,-11.8%
2018-05-07,Southwest (SW),,Organic,13.4,2.9%
2018-05-07,Southwest (SW),,Specialty,5.5,-0.7%
2018-05-07,Southwest (SW),Extra Large,,24.5,-1.4%
2018-05-07,Southwest (SW),Jumbo,,6.2,-8.0%
2018-05-07,Southwest (SW),Large,,100.7,-6.7%
2018-05-07,Southwest (SW),Medium,,25.7,-9.8%
2018-05-07,Southwest (SW),Misc,,3.6,-29.7%
2018-05-07,Southwest (SW),Small,,0.1,-78.3%
2018-05-07,Southwest (SW),Total,,186.0,-5.7%
2018-05-07,Southwest (SW),Ungraded,,25.1,6.1%
2018-05-14,,Breaking Stock,,289.2,2.6%
2018-05-14,6-Area,,Cage-Free,70.6,2.7%
2018-05-14,6-Area,,Organic,79.5,2.1%
2018-05-14,6-Area,,Specialty,48.0,7.2%
2018-05-14,6-Area,Extra Large,,162.1,-2.1%
2018-05-14,6-Area,Jumbo,,54.9,-4.3%
2018-05-14,6-Area,Large,,740.2,2.1%
2018-05-14,6-Area,Medium,,154.3,0.6%
2018-05-14,6-Area,Misc,,58.7,7.0%
2018-05-14,6-Area,Small,,20.3,11.4%
2018-05-14,6-Area,Total,,1457.8,2.4%
2018-05-14,6-Area,Ungraded,,267.3,7.4%
2018-05-14,Midwest (MW),,Cage-Free,33.4,-0.5%
2018-05-14,Midwest (MW),,Organic,39.2,0.1%
2018-05-14,Midwest (MW),,Specialty,0.5,76.3%
2018-05-14,Midwest (MW),Extra Large,,41.3,-6.3%
2018-05-14,Midwest (MW),Jumbo,,13.7,2.8%
2018-05-14,Midwest (MW),Large,,162.5,2.6%
2018-05-14,Midwest (MW),Medium,,51.6,15.8%
2018-05-14,Midwest (MW),Misc,,26.9,5.9%
2018-05-14,Midwest (MW),Small,,6.5,6.8%
2018-05-14,Midwest (MW),Total,,426.0,5.6%
2018-05-14,Midwest (MW),Ungraded,,123.4,10.7%
2018-05-14,Northeast (NE),,Cage-Free,2.0,27.7%
2018-05-14,Northeast (NE),,Organic,9.2,-8.2%
2018-05-14,Northeast (NE),,Specialty,11.5,4.8%
2018-05-14,Northeast (NE),Extra Large,,27.6,-9.7%
2018-05-14,Northeast (NE),Jumbo,,11.5,-7.5%
2018-05-14,Northeast (NE),Large,,75.0,-6.3%
2018-05-14,Northeast (NE),Medium,,16.5,-30.1%
2018-05-14,Northeast (NE),Misc,,2.6,-36.2%
2018-05-14,Northeast (NE),Small,,4.2,-20.6%
2018-05-14,Northeast (NE),Total,,160.5,-12.0%
2018-05-14,Northeast (NE),Ungraded,,23.0,-12.4%
2018-05-14,Northwest (NW),,Cage-Free,2.9,-1.0%
2018-05-14,Northwest (NW),,Organic,1.7,-4.8%
2018-05-14,Northwest (NW),,Specialty,4.7,-10.5%
2018-05-14,Northwest (NW),Extra Large,,10.9,23.9%
2018-05-14,Northwest (NW),Jumbo,,4.8,-22.4%
2018-05-14,Northwest (NW),Large,,77.1,6.2%
2018-05-14,Northwest (NW),Medium,,12.2,-4.2%
2018-05-14,Northwest (NW),Misc,,1.2,
2018-05-14,Northwest (NW),Small,,4.1,15.2%
2018-05-14,Northwest (NW),Total,,131.3,12.8%
2018-05-14,Northwest (NW),Ungraded,,20.9,67.5%
2018-05-14,South Central (SC),,Cage-Free,15.7,12.3%
2018-05-14,South Central (SC),,Organic,6.5,9.7%
