report_date,region,class,type,volume,pct_chg
2017-11-20,Midwest (MW),Jumbo,,18.4,3.9%
2017-11-20,Midwest (MW),Large,,99.3,-19.7%
2017-11-20,Midwest (MW),Medium,,40.7,1.8%
2017-11-20,Midwest (MW),Misc,,27.8,-7.8%
2017-11-20,Midwest (MW),Small,,7.0,22.1%
2017-11-20,Midwest (MW),Total,,304.2,-10.1%
2017-11-20,Midwest (MW),Ungraded,,81.5,-9.7%
2017-11-20,Northeast (NE),,Cage-Free,1.4,27.2%
2017-11-20,Northeast (NE),,Organic,4.4,-14.2%
2017-11-20,Northeast (NE),,Specialty,3.9,-33.2%
2017-11-20,Northeast (NE),Extra Large,,20.3,-11.5%
2017-11-20,Northeast (NE),Jumbo,,6.3,-22.0%
2017-11-20,Northeast (NE),Large,,51.2,-24.4%
2017-11-20,Northeast (NE),Medium,,12.5,-10.1%
2017-11-20,Northeast (NE),Misc,,2.0,-17.3%
2017-11-20,Northeast (NE),Small,,3.1,40.8%
2017-11-20,Northeast (NE),Total,,100.3,-20.9%
2017-11-20,Northeast (NE),Ungraded,,4.9,-48.4%
2017-11-20,Northwest (NW),,Cage-Free,0.0,
2017-11-20,Northwest (NW),,Organic,0.4,258.0%
2017-11-20,Northwest (NW),,Specialty,3.3,59.3%
2017-11-20,Northwest (NW),Extra Large,,9.7,8.9%
2017-11-20,Northwest (NW),Jumbo,,6.5,2.7%
2017-11-20,Northwest (NW),Large,,62.4,0.8%
2017-11-20,Northwest (NW),Medium,,11.2,6.5%
2017-11-20,Northwest (NW),Misc,,1.1,1.0%
2017-11-20,Northwest (NW),Small,,0.1,9.0%
2017-11-20,Northwest (NW),Total,,106.2,4.5%
2017-11-20,Northwest (NW),Ungraded,,15.2,20.0%
2017-11-20,South Central (SC),,Cage-Free,8.0,-43.0%
2017-11-20,South Central (SC),,Organic,6.2,-36.0%
2017-11-20,South Central (SC),,Specialty,5.3,22.8%
2017-11-20,South Central (SC),Extra Large,,20.5,-25.1%
2017-11-20,South Central (SC),Jumbo,,9.4,-18.1%
2017-11-20,South Central (SC),Large,,126.7,-14.1%
2017-11-20,South Central (SC),Medium,,22.8,-23.3%
2017-11-20,South Central (SC),Misc,,17.0,-28.1%
2017-11-20,South Central (SC),Small,,2.3,-22.3%
2017-11-20,South Central (SC),Total,,208.6,-19.3%
2017-11-20,South Central (SC),Ungraded,,9.9,-37.2%
2017-11-20,Southeast (SE),,Cage-Free,9.1,-13.3%
2017-11-20,Southeast (SE),,Organic,10.0,0.8%
2017-11-20,Southeast (SE),,Specialty,15.3,-13.7%
2017-11-20,Southeast (SE),Extra Large,,30.4,-21.5%
2017-11-20,Southeast (SE),Jumbo,,10.5,-7.9%
2017-11-20,Southeast (SE),Large,,125.3,-12.1%
2017-11-20,Southeast (SE),Medium,,17.9,-2.6%
2017-11-20,Southeast (SE),Misc,,10.2,4.7%
