release_date,week_ending_date,hatchability_pct,source,txt_url,pdf_url
2011-04-20,,84.0,seed,,
2011-04-27,,84.0,seed,,
2011-05-04,,84.0,seed,,
2011-05-11,,84.0,seed,,
2011-05-18,,85.0,seed,,
2011-05-25,,84.0,seed,,
2011-06-01,,84.0,seed,,
2011-06-08,,84.0,seed,,
2011-06-15,,84.0,seed,,
2011-06-22,,84.0,seed,,
2011-06-29,,84.0,seed,,
2011-07-06,,84.0,seed,,
2011-07-13,,85.0,seed,,
2011-07-20,,84.0,seed,,
2011-07-27,,85.0,seed,,
2011-08-03,,85.0,seed,,
2011-08-10,,85.0,seed,,
2011-08-17,,85.0,seed,,
2011-08-24,,85.0,seed,,
2011-08-31,,85.0,seed,,
2011-09-07,,85.0,seed,,
2011-09-14,,85.0,seed,,
2011-09-21,,85.0,seed,,
2011-09-28,,85.0,seed,,
2011-10-05,,85.0,seed,,
2011-10-12,,85.0,seed,,
2011-10-19,,85.0,seed,,
2011-10-26,,85.0,seed,,
2011-11-02,,84.0,seed,,
2011-11-09,,85.0,seed,,
2011-11-16,,85.0,seed,,
2011-11-23,,85.0,seed,,
2011-11-30,,85.0,seed,,
2011-12-07,,85.0,seed,,
2011-12-14,,85.0,seed,,
2011-12-21,,85.0,seed,,
2011-12-28,,85.0,seed,,
2012-01-04,,85.0,seed,,
2012-01-11,,85.0,seed,,
2012-01-18,,85.0,seed,,
2012-01-25,,85.0,seed,,
2012-02-01,,85.0,seed,,
2012-02-08,,85.0,seed,,
2012-02-15,,85.0,seed,,
2012-02-22,,85.0,seed,,
2012-02-29,,85.0,seed,,
2012-03-07,,85.0,seed,,
2012-03-14,,85.0,seed,,
2012-03-21,,85.0,seed,,
2012-03-28,,85.0,seed,,
2012-04-04,,85.0,seed,,
2012-04-11,,85.0,seed,,
2012-04-18,,85.0,seed,,
2012-04-25,,85.0,seed,,
2012-05-02,,85.0,seed,,
2012-05-09,,84.0,seed,,
2012-05-16,,85.0,seed,,
2012-05-23,,85.0,seed,,
2012-05-30,,85.0,seed,,
2012-06-06,,85.0,seed,,
2012-06-13,,85.0,seed,,
2012-06-20,,85.0,seed,,
2012-06-27,,85.0,seed,,
2012-07-05,,85.0,seed,,
2012-07-11,,85.0,seed,,
2012-07-18,,85.0,seed,,
2012-07-25,,85.0,seed,,
2012-08-01,,85.0,seed,,
2012-08-08,,85.0,seed,,
2012-08-15,,85.0,seed,,
2012-08-22,,85.0,seed,,
2012-08-29,,85.0,seed,,
2012-09-05,,84.0,seed,,
2012-09-12,,85.0,seed,,
2012-09-19,,85.0,seed,,
2012-09-26,,85.0,seed,,
2012-10-03,,85.0,seed,,
2012-10-10,,85.0,seed,,
2012-10-17,,85.0,seed,,
2012-10-24,,85.0,seed,,
2012-10-31,,85.0,seed,,
2012-11-07,,85.0,seed,,
2012-11-14,,85.0,seed,,
2012-11-21,,85.0,seed,,
2012-11-28,,85.0,seed,,
