report_date,class,period,volume
2019-05-06,Dried,YTD % Change,0.0
2019-05-06,Inedible,2018 Year to date,90253.0
2019-05-06,Inedible,2019 Year to date,94793.0
2019-05-06,Inedible,Current Week,5262.0
2019-05-06,Inedible,LY % Change,0.0
2019-05-06,Inedible,Last Year,4994.0
2019-05-06,Inedible,PW % Change,0.0
2019-05-06,Inedible,Previous Month Total,19823.0
2019-05-06,Inedible,Prior Week,5461.0
2019-05-06,Inedible,YTD % Change,0.0
2019-05-06,Inline % of Total Cases Broken,2018 Year to date,0.0
2019-05-06,Inline % of Total Cases Broken,2019 Year to date,0.0
2019-05-06,Inline % of Total Cases Broken,Current Week,0.0
2019-05-06,Inline % of Total Cases Broken,Last Year,0.0
2019-05-06,Inline % of Total Cases Broken,Prior Week,0.0
2019-05-06,Inline % of Total Liquid Whole Egg,2018 Year to date,0.0
2019-05-06,Inline % of Total Liquid Whole Egg,2019 Year to date,0.0
2019-05-06,Inline % of Total Liquid Whole Egg,Current Week,0.0
2019-05-06,Inline % of Total Liquid Whole Egg,Last Year,0.0
2019-05-06,Inline % of Total Liquid Whole Egg,Prior Week,0.0
2019-05-06,Inline Cases Broken,% Change,0.0
2019-05-06,Inline Cases Broken,2018 Year to date,15056300.0
2019-05-06,Inline Cases Broken,2019 Year to date,16180503.0
2019-05-06,Inline Cases Broken,Current Week,876193.0
2019-05-06,Inline Cases Broken,Last Year,834668.0
2019-05-06,Inline Cases Broken,Prior Week,880485.0
2019-05-06,Inline Liquid Whole Egg,% Change,0.0
2019-05-06,Inline Liquid Whole Egg,2018 Year to date,362561.0
2019-05-06,Inline Liquid Whole Egg,2019 Year to date,364979.0
2019-05-06,Inline Liquid Whole Egg,Current Week,19104.0
2019-05-06,Inline Liquid Whole Egg,Last Year,20001.0
2019-05-06,Inline Liquid Whole Egg,Prior Week,20117.0
2019-05-06,Liquid White,2018 Year to date,265431.0
2019-05-06,Liquid White,2019 Year to date,302061.0
2019-05-06,Liquid White,Current Week,16753.0
2019-05-06,Liquid White,LY % Change,0.0
2019-05-06,Liquid White,Last Year,15576.0
2019-05-06,Liquid White,PW % Change,0.0
2019-05-06,Liquid White,Previous Month Total,66191.0
2019-05-06,Liquid White,Prior Week,17739.0
2019-05-06,Liquid White,YTD % Change,0.0
2019-05-06,Liquid Whole,2018 Year to date,688262.0
2019-05-06,Liquid Whole,2019 Year to date,693714.0
2019-05-06,Liquid Whole,Current Week,37129.0
2019-05-06,Liquid Whole,LY % Change,0.0
2019-05-06,Liquid Whole,Last Year,38303.0
2019-05-06,Liquid Whole,PW % Change,0.0
2019-05-06,Liquid Whole,Previous Month Total,142437.0
2019-05-06,Liquid Whole,Prior Week,37699.0
2019-05-06,Liquid Whole,YTD % Change,0.0
2019-05-06,Liquid Yolk,2018 Year to date,133639.0
2019-05-06,Liquid Yolk,2019 Year to date,151294.0
2019-05-06,Liquid Yolk,Current Week,8337.0
2019-05-06,Liquid Yolk,LY % Change,0.0
2019-05-06,Liquid Yolk,Last Year,7409.0
2019-05-06,Liquid Yolk,PW % Change,0.0
2019-05-06,Liquid Yolk,Previous Month Total,33204.0
2019-05-06,Liquid Yolk,Prior Week,8425.0
2019-05-06,Liquid Yolk,YTD % Change,0.0
2019-05-06,Yield W/O Inedible,2018 Year to date,0.0
2019-05-06,Yield W/O Inedible,2019 Year to date,0.0
2019-05-06,Yield W/O Inedible,Current Week,0.0
2019-05-06,Yield W/O Inedible,Last Year,0.0
2019-05-06,Yield W/O Inedible,Previous Month Total,0.0
2019-05-06,Yield W/O Inedible,Prior Week,0.0
2019-05-06,Yield With Inedible,Previous Month Total,0.0
2019-05-06,Yield with Inedible,2018 Year to date,0.0
2019-05-06,Yield with Inedible,2019 Year to date,0.0
2019-05-06,Yield with Inedible,Current Week,0.0
2019-05-06,Yield with Inedible,Last Year,0.0
2019-05-06,Yield with Inedible,Prior Week,0.0
2019-05-13,Cases Broken,2018 Year to date,29574557.0
2019-05-13,Cases Broken,2019 Year to date,31233252.0
2019-05-13,Cases Broken,Current Week,1615193.0
2019-05-13,Cases Broken,LY % Change,0.0
2019-05-13,Cases Broken,Last Year,1612775.0
2019-05-13,Cases Broken,PW % Change,0.0
2019-05-13,Cases Broken,Previous Month Total,6197203.0
2019-05-13,Cases Broken,Prior Week,1615591.0
2019-05-13,Cases Broken,YTD % Change,0.0
2019-05-13,Dried,2018 Year to date,45462.0
2019-05-13,Dried,2019 Year to date,56534.0
2019-05-13,Dried,Current Week,3174.0
2019-05-13,Dried,LY % Change,0.0
2019-05-13,Dried,Last Year,2283.0
2019-05-13,Dried,PW % Change,0.0
2019-05-13,Dried,Previous Month Total,11427.0
2019-05-13,Dried,Prior Week,3169.0
2019-05-13,Dried,YTD % Change,0.0
2019-05-13,Inedible,2018 Year to date,95294.0
2019-05-13,Inedible,2019 Year to date,100112.0
2019-05-13,Inedible,Current Week,5320.0
2019-05-13,Inedible,LY % Change,0.0
2019-05-13,Inedible,Last Year,5041.0
2019-05-13,Inedible,PW % Change,0.0
2019-05-13,Inedible,Previous Month Total,19823.0
2019-05-13,Inedible,Prior Week,5262.0
2019-05-13,Inedible,YTD % Change,0.0
2019-05-13,Inline % of Total Cases Broken,2018 Year to date,0.0
2019-05-13,Inline % of Total Cases Broken,2019 Year to date,0.0
2019-05-13,Inline % of Total Cases Broken,Current Week,0.0
2019-05-13,Inline % of Total Cases Broken,Last Year,0.0
2019-05-13,Inline % of Total Cases Broken,Prior Week,0.0
2019-05-13,Inline % of Total Liquid Whole Egg,2018 Year to date,0.0
2019-05-13,Inline % of Total Liquid Whole Egg,2019 Year to date,0.0
2019-05-13,Inline % of Total Liquid Whole Egg,Current Week,0.0
2019-05-13,Inline % of Total Liquid Whole Egg,Last Year,0.0
2019-05-13,Inline % of Total Liquid Whole Egg,Prior Week,0.0
2019-05-13,Inline Cases Broken,% Change,0.0
2019-05-13,Inline Cases Broken,2018 Year to date,15894734.0
2019-05-13,Inline Cases Broken,2019 Year to date,17041741.0
2019-05-13,Inline Cases Broken,Current Week,861238.0
2019-05-13,Inline Cases Broken,Last Year,838434.0
2019-05-13,Inline Cases Broken,Prior Week,876193.0
2019-05-13,Inline Liquid Whole Egg,% Change,0.0
2019-05-13,Inline Liquid Whole Egg,2018 Year to date,382554.0
2019-05-13,Inline Liquid Whole Egg,2019 Year to date,384053.0
2019-05-13,Inline Liquid Whole Egg,Current Week,19074.0
2019-05-13,Inline Liquid Whole Egg,Last Year,19993.0
2019-05-13,Inline Liquid Whole Egg,Prior Week,19104.0
2019-05-13,Liquid White,2018 Year to date,280698.0
2019-05-13,Liquid White,2019 Year to date,319321.0
2019-05-13,Liquid White,Current Week,17261.0
2019-05-13,Liquid White,LY % Change,0.0
2019-05-13,Liquid White,Last Year,15267.0
2019-05-13,Liquid White,PW % Change,0.0
2019-05-13,Liquid White,Previous Month Total,66191.0
2019-05-13,Liquid White,Prior Week,16753.0
2019-05-13,Liquid White,YTD % Change,0.0
2019-05-13,Liquid Whole,2018 Year to date,727522.0
2019-05-13,Liquid Whole,2019 Year to date,730600.0
2019-05-13,Liquid Whole,Current Week,36886.0
2019-05-13,Liquid Whole,LY % Change,0.0
2019-05-13,Liquid Whole,Last Year,39260.0
2019-05-13,Liquid Whole,PW % Change,0.0
2019-05-13,Liquid Whole,Previous Month Total,142437.0
2019-05-13,Liquid Whole,Prior Week,37129.0
2019-05-13,Liquid Whole,YTD % Change,0.0
2019-05-13,Liquid Yolk,2018 Year to date,141197.0
2019-05-13,Liquid Yolk,2019 Year to date,160056.0
2019-05-13,Liquid Yolk,Current Week,8761.0
2019-05-13,Liquid Yolk,LY % Change,0.0
2019-05-13,Liquid Yolk,Last Year,7558.0
2019-05-13,Liquid Yolk,PW % Change,0.0
2019-05-13,Liquid Yolk,Previous Month Total,33204.0
2019-05-13,Liquid Yolk,Prior Week,8337.0
2019-05-13,Liquid Yolk,YTD % Change,0.0
2019-05-13,Yield W/O Inedible,2018 Year to date,0.0
2019-05-13,Yield W/O Inedible,2019 Year to date,0.0
2019-05-13,Yield W/O Inedible,Current Week,0.0
2019-05-13,Yield W/O Inedible,Last Year,0.0
2019-05-13,Yield W/O Inedible,Previous Month Total,0.0
2019-05-13,Yield W/O Inedible,Prior Week,0.0
2019-05-13,Yield With Inedible,Previous Month Total,0.0
2019-05-13,Yield with Inedible,2018 Year to date,0.0
2019-05-13,Yield with Inedible,2019 Year to date,0.0
2019-05-13,Yield with Inedible,Current Week,0.0
2019-05-13,Yield with Inedible,Last Year,0.0
2019-05-13,Yield with Inedible,Prior Week,0.0
2019-05-20,Cases Broken,2018 Year to date,31150601.0
2019-05-20,Cases Broken,2019 Year to date,32848275.0
2019-05-20,Cases Broken,Current Week,1615023.0
2019-05-20,Cases Broken,LY % Change,0.0
2019-05-20,Cases Broken,Last Year,1576044.0
2019-05-20,Cases Broken,PW % Change,0.0
2019-05-20,Cases Broken,Previous Month Total,6197203.0
2019-05-20,Cases Broken,Prior Week,1615193.0
2019-05-20,Cases Broken,YTD % Change,0.0
2019-05-20,Dried,2018 Year to date,48391.0
2019-05-20,Dried,2019 Year to date,59972.0
2019-05-20,Dried,Current Week,3438.0
2019-05-20,Dried,LY % Change,0.0
2019-05-20,Dried,Last Year,2929.0
2019-05-20,Dried,PW % Change,0.0
2019-05-20,Dried,Previous Month Total,11427.0
2019-05-20,Dried,Prior Week,3174.0
2019-05-20,Dried,YTD % Change,0.0
2019-05-20,Inedible,2018 Year to date,100328.0
2019-05-20,Inedible,2019 Year to date,105509.0
2019-05-20,Inedible,Current Week,5396.0
2019-05-20,Inedible,LY % Change,0.0
2019-05-20,Inedible,Last Year,5034.0
2019-05-20,Inedible,PW % Change,0.0
2019-05-20,Inedible,Previous Month Total,19823.0
2019-05-20,Inedible,Prior Week,5320.0
2019-05-20,Inedible,YTD % Change,0.0
2019-05-20,Inline % of Total Cases Broken,2018 Year to date,0.0
2019-05-20,Inline % of Total Cases Broken,2019 Year to date,0.0
2019-05-20,Inline % of Total Cases Broken,Current Week,0.0
2019-05-20,Inline % of Total Cases Broken,Last Year,0.0
2019-05-20,Inline % of Total Cases Broken,Prior Week,0.0
2019-05-20,Inline % of Total Liquid Whole Egg,2018 Year to date,0.0
2019-05-20,Inline % of Total Liquid Whole Egg,2019 Year to date,0.0
2019-05-20,Inline % of Total Liquid Whole Egg,Current Week,0.0
2019-05-20,Inline % of Total Liquid Whole Egg,Last Year,0.0
2019-05-20,Inline % of Total Liquid Whole Egg,Prior Week,0.0
2019-05-20,Inline Cases Broken,% Change,0.0
2019-05-20,Inline Cases Broken,2018 Year to date,16738497.0
2019-05-20,Inline Cases Broken,2019 Year to date,17909907.0
2019-05-20,Inline Cases Broken,Current Week,868166.0
2019-05-20,Inline Cases Broken,Last Year,843763.0
2019-05-20,Inline Cases Broken,Prior Week,861238.0
2019-05-20,Inline Liquid Whole Egg,% Change,0.0
2019-05-20,Inline Liquid Whole Egg,2018 Year to date,402917.0
2019-05-20,Inline Liquid Whole Egg,2019 Year to date,402390.0
2019-05-20,Inline Liquid Whole Egg,Current Week,18337.0
2019-05-20,Inline Liquid Whole Egg,Last Year,20363.0
2019-05-20,Inline Liquid Whole Egg,Prior Week,19074.0
2019-05-20,Liquid White,2018 Year to date,295768.0
2019-05-20,Liquid White,2019 Year to date,337069.0
2019-05-20,Liquid White,Current Week,17748.0
2019-05-20,Liquid White,LY % Change,0.0
2019-05-20,Liquid White,Last Year,15070.0
2019-05-20,Liquid White,PW % Change,0.0
2019-05-20,Liquid White,Previous Month Total,66191.0
2019-05-20,Liquid White,Prior Week,17261.0
2019-05-20,Liquid White,YTD % Change,0.0
2019-05-20,Liquid Whole,2018 Year to date,766213.0
2019-05-20,Liquid Whole,2019 Year to date,766560.0
2019-05-20,Liquid Whole,Current Week,35960.0
2019-05-20,Liquid Whole,LY % Change,0.0
2019-05-20,Liquid Whole,Last Year,38691.0
2019-05-20,Liquid Whole,PW % Change,0.0
2019-05-20,Liquid Whole,Previous Month Total,142437.0
2019-05-20,Liquid Whole,Prior Week,36886.0
2019-05-20,Liquid Whole,YTD % Change,0.0
2019-05-20,Liquid Yolk,2018 Year to date,148629.0
2019-05-20,Liquid Yolk,2019 Year to date,168842.0
2019-05-20,Liquid Yolk,Current Week,8786.0
2019-05-20,Liquid Yolk,LY % Change,0.0
2019-05-20,Liquid Yolk,Last Year,7432.0
2019-05-20,Liquid Yolk,PW % Change,0.0
2019-05-20,Liquid Yolk,Previous Month Total,33204.0
2019-05-20,Liquid Yolk,Prior Week,8761.0
2019-05-20,Liquid Yolk,YTD % Change,0.0
2019-05-20,Yield W/O Inedible,2018 Year to date,0.0
2019-05-20,Yield W/O Inedible,2019 Year to date,0.0
2019-05-20,Yield W/O Inedible,Current Week,0.0
2019-05-20,Yield W/O Inedible,Last Year,0.0
