year,reference_period,class,value,unit,agg_level,state_alpha
2010,AUG,TABLE,534000000.0,EGGS,STATE,IN
2010,AUG,ALL CLASSES,54000000.0,EGGS,STATE,MD
2010,AUG,TABLE,52000000.0,EGGS,STATE,MD
2010,AUG,ALL CLASSES,88000000.0,EGGS,STATE,ME
2010,AUG,TABLE,,EGGS,STATE,ME
2010,AUG,ALL CLASSES,264000000.0,EGGS,STATE,MI
2010,AUG,TABLE,,EGGS,STATE,MI
2010,AUG,ALL CLASSES,240000000.0,EGGS,STATE,MN
2010,AUG,TABLE,232000000.0,EGGS,STATE,MN
2010,AUG,ALL CLASSES,172000000.0,EGGS,STATE,MO
2010,AUG,TABLE,,EGGS,STATE,MO
2010,AUG,ALL CLASSES,126000000.0,EGGS,STATE,MS
2010,AUG,TABLE,37000000.0,EGGS,STATE,MS
2010,AUG,ALL CLASSES,276000000.0,EGGS,STATE,NC
2010,AUG,TABLE,142000000.0,EGGS,STATE,NC
2010,AUG,ALL CLASSES,233000000.0,EGGS,STATE,NE
2010,AUG,TABLE,233000000.0,EGGS,STATE,NE
2010,AUG,ALL CLASSES,98000000.0,EGGS,STATE,NY
2010,AUG,TABLE,,EGGS,STATE,NY
2010,AUG,ALL CLASSES,651000000.0,EGGS,STATE,OH
2010,AUG,TABLE,,EGGS,STATE,OH
2010,AUG,ALL CLASSES,61000000.0,EGGS,STATE,OR
2010,AUG,TABLE,59000000.0,EGGS,STATE,OR
2010,AUG,ALL CLASSES,437000000.0,EGGS,STATE,OT
2010,AUG,TABLE,300000000.0,EGGS,STATE,OT
2010,AUG,ALL CLASSES,594000000.0,EGGS,STATE,PA
2010,AUG,TABLE,573000000.0,EGGS,STATE,PA
2010,AUG,ALL CLASSES,92000000.0,EGGS,STATE,SC
2010,AUG,TABLE,70000000.0,EGGS,STATE,SC
2010,AUG,ALL CLASSES,57000000.0,EGGS,STATE,SD
2010,AUG,TABLE,57000000.0,EGGS,STATE,SD
2010,AUG,ALL CLASSES,399000000.0,EGGS,STATE,TX
2010,AUG,TABLE,,EGGS,STATE,TX
2010,AUG,ALL CLASSES,78000000.0,EGGS,STATE,UT
2010,AUG,TABLE,78000000.0,EGGS,STATE,UT
2010,AUG,ALL CLASSES,64000000.0,EGGS,STATE,VA
2010,AUG,TABLE,30000000.0,EGGS,STATE,VA
2010,AUG,ALL CLASSES,150000000.0,EGGS,STATE,WA
2010,AUG,TABLE,,EGGS,STATE,WA
2010,AUG,ALL CLASSES,110000000.0,EGGS,STATE,WI
2010,AUG,TABLE,,EGGS,STATE,WI
2010,DEC,ALL CLASSES,7948000000.0,EGGS,NATIONAL,
2010,DEC,TABLE,6866000000.0,EGGS,NATIONAL,
2010,DEC,"HATCHING, BROILER TYPE",1017000000.0,EGGS,NATIONAL,
2010,DEC,ALL CLASSES,186000000.0,EGGS,STATE,AL
2010,DEC,TABLE,34000000.0,EGGS,STATE,AL
2010,DEC,ALL CLASSES,255000000.0,EGGS,STATE,AR
2010,DEC,TABLE,86000000.0,EGGS,STATE,AR
2010,DEC,ALL CLASSES,448000000.0,EGGS,STATE,CA
2010,DEC,TABLE,,EGGS,STATE,CA
2010,DEC,ALL CLASSES,89000000.0,EGGS,STATE,CO
2010,DEC,TABLE,,EGGS,STATE,CO
2010,DEC,ALL CLASSES,56000000.0,EGGS,STATE,CT
2010,DEC,TABLE,,EGGS,STATE,CT
2010,DEC,ALL CLASSES,238000000.0,EGGS,STATE,FL
2010,DEC,TABLE,232000000.0,EGGS,STATE,FL
2010,DEC,ALL CLASSES,392000000.0,EGGS,STATE,GA
2010,DEC,TABLE,223000000.0,EGGS,STATE,GA
2010,DEC,ALL CLASSES,,EGGS,STATE,HI
2010,DEC,TABLE,,EGGS,STATE,HI
2010,DEC,ALL CLASSES,1235000000.0,EGGS,STATE,IA
2010,DEC,TABLE,1223000000.0,EGGS,STATE,IA
2010,DEC,ALL CLASSES,110000000.0,EGGS,STATE,IL
2010,DEC,TABLE,107000000.0,EGGS,STATE,IL
2010,DEC,ALL CLASSES,554000000.0,EGGS,STATE,IN
2010,DEC,TABLE,542000000.0,EGGS,STATE,IN
2010,DEC,ALL CLASSES,53000000.0,EGGS,STATE,MD
2010,DEC,TABLE,52000000.0,EGGS,STATE,MD
2010,DEC,ALL CLASSES,87000000.0,EGGS,STATE,ME
2010,DEC,TABLE,,EGGS,STATE,ME
2010,DEC,ALL CLASSES,264000000.0,EGGS,STATE,MI
2010,DEC,TABLE,,EGGS,STATE,MI
2010,DEC,ALL CLASSES,252000000.0,EGGS,STATE,MN
2010,DEC,TABLE,244000000.0,EGGS,STATE,MN
2010,DEC,ALL CLASSES,175000000.0,EGGS,STATE,MO
2010,DEC,TABLE,,EGGS,STATE,MO
2010,DEC,ALL CLASSES,122000000.0,EGGS,STATE,MS
2010,DEC,TABLE,37000000.0,EGGS,STATE,MS
2010,DEC,ALL CLASSES,277000000.0,EGGS,STATE,NC
2010,DEC,TABLE,143000000.0,EGGS,STATE,NC
2010,DEC,ALL CLASSES,232000000.0,EGGS,STATE,NE
2010,DEC,TABLE,232000000.0,EGGS,STATE,NE
2010,DEC,ALL CLASSES,109000000.0,EGGS,STATE,NY
2010,DEC,TABLE,,EGGS,STATE,NY
2010,DEC,ALL CLASSES,679000000.0,EGGS,STATE,OH
2010,DEC,TABLE,,EGGS,STATE,OH
