report_date,item,low_price,high_price,wtd_avg_price,volume,wtd_avg_price_prev,volume_prev,price_change,price_unit,volume_unit
2023-03-01,Thighs - B/S,60.0,142.0,110.91,3951,90.22,3573,20.69,Cents Per Lb,Pounds
2023-03-01,Thighs - Bone-in,52.0,72.0,62.04,356,53.58,358,8.46,Cents Per Lb,Pounds
2023-03-01,WOG,102.0,163.0,134.74,13820,126.21,10790,8.53,Cents Per Lb,Pounds
2023-03-01,Wings - Cut,84.0,133.0,103.49,714,91.99,677,11.5,Cents Per Lb,Pounds
2023-03-01,Wings - Whole,85.0,135.0,107.77,3711,110.33,3421,-2.56,Cents Per Lb,Pounds
2023-04-01,ALL Items,105.0,170.0,140.15,41949,130.05,51541,10.1,Cents Per Lb,Pounds
2023-04-01,All Items,120.0,170.0,145.26,12145,135.25,14800,10.01,Cents Per Lb,Pounds
2023-04-01,Backs and Necks Stripped,8.0,14.0,11.26,5939,11.43,7281,-0.17,Cents Per Lb,Pounds
2023-04-01,Breast - B/S,115.0,267.0,131.28,8422,136.57,12664,-5.29,Cents Per Lb,Pounds
2023-04-01,Breast - Line Run,115.0,123.0,118.04,649,116.74,874,1.3,Cents Per Lb,Pounds
2023-04-01,Breast With Ribs,116.0,156.0,139.67,412,136.86,625,2.81,Cents Per Lb,Pounds
2023-04-01,Drumsticks,39.0,42.0,40.73,1620,41.85,3158,-1.12,Cents Per Lb,Pounds
2023-04-01,Frames,7.0,13.0,10.33,7600,6.63,6748,3.7,Cents Per Lb,Pounds
2023-04-01,Gizzards and Hearts,52.0,76.0,73.62,308,70.96,542,2.66,Cents Per Lb,Pounds
2023-04-01,Leg quarters - Bulk,43.0,52.0,47.31,11800,41.97,6676,5.34,Cents Per Lb,Pounds
2023-04-01,Legs - Bone-in,61.0,67.0,63.33,162,56.54,702,6.79,Cents Per Lb,Pounds
2023-04-01,Livers,61.0,64.0,62.42,364,62.82,463,-0.4,Cents Per Lb,Pounds
2023-04-01,Mechanically Separated,28.0,36.0,33.43,2368,32.8,3591,0.63,Cents Per Lb,Pounds
2023-04-01,RTC Broiler/Fryer,105.0,170.0,138.12,12583,130.91,16089,7.21,Cents Per Lb,Pounds
2023-04-01,Tenderloins,130.0,201.0,159.96,3972,130.51,5288,29.45,Cents Per Lb,Pounds
2023-04-01,Thighs - B/S,70.0,152.0,130.54,2912,110.91,3951,19.63,Cents Per Lb,Pounds
2023-04-01,Thighs - Bone-in,60.0,68.0,65.82,158,62.04,356,3.78,Cents Per Lb,Pounds
2023-04-01,WOG,120.0,163.0,144.96,11560,134.74,13820,10.22,Cents Per Lb,Pounds
2023-04-01,Wings - Cut,90.0,133.0,117.18,1014,103.49,714,13.69,Cents Per Lb,Pounds
2023-04-01,Wings - Whole,88.0,119.0,102.22,3076,107.77,3711,-5.55,Cents Per Lb,Pounds
2023-05-01,ALL Items,118.0,170.0,142.43,52930,140.15,41949,2.28,Cents Per Lb,Pounds
2023-05-01,All Items,128.0,170.0,147.06,14858,145.26,12145,1.8,Cents Per Lb,Pounds
2023-05-01,Backs and Necks Stripped,9.0,13.0,11.86,7605,11.26,5939,0.6,Cents Per Lb,Pounds
2023-05-01,Breast - B/S,125.0,150.0,143.24,148,,,,Cents Per Lb,Pounds
2023-05-01,Breast - Line Run,114.0,122.0,119.58,820,118.04,649,1.54,Cents Per Lb,Pounds
2023-05-01,Breast With Ribs,117.0,167.0,144.17,542,139.67,412,4.5,Cents Per Lb,Pounds
2023-05-01,Drumsticks,36.5,42.0,37.53,12670,40.73,1620,-3.2,Cents Per Lb,Pounds
2023-05-01,Frames,6.0,15.0,9.85,9506,10.33,7600,-0.48,Cents Per Lb,Pounds
2023-05-01,Gizzards and Hearts,60.0,77.0,73.56,419,73.62,308,-0.06,Cents Per Lb,Pounds
2023-05-01,Leg quarters - Bulk,39.0,48.0,43.23,14036,47.31,11800,-4.08,Cents Per Lb,Pounds
2023-05-01,Legs - Bone-in,51.0,52.0,51.21,756,63.33,162,-12.12,Cents Per Lb,Pounds
2023-05-01,Livers,61.0,70.0,62.27,450,62.42,364,-0.15,Cents Per Lb,Pounds
2023-05-01,Mechanically Separated,30.0,36.0,33.02,2673,33.43,2368,-0.41,Cents Per Lb,Pounds
2023-05-01,RTC Broiler/Fryer,121.0,170.0,140.02,15645,138.12,12583,1.9,Cents Per Lb,Pounds
2023-05-01,Tenderloins,159.0,222.0,190.93,4915,159.96,3972,30.97,Cents Per Lb,Pounds
2023-05-01,Thighs - B/S,90.0,155.0,136.74,3812,130.54,2912,6.2,Cents Per Lb,Pounds
2023-05-01,Thighs - Bone-in,62.0,65.0,62.91,230,65.82,158,-2.91,Cents Per Lb,Pounds
2023-05-01,WOG,128.0,163.0,146.79,14005,144.96,11560,1.83,Cents Per Lb,Pounds
2023-05-01,Wings - Cut,99.0,133.0,117.54,875,117.18,1014,0.36,Cents Per Lb,Pounds
2023-05-01,Wings - Whole,71.0,111.0,88.92,3934,102.22,3076,-13.3,Cents Per Lb,Pounds
2023-06-01,ALL Items,103.0,170.0,135.21,42136,142.43,52930,-7.22,Cents Per Lb,Pounds
2023-06-01,All Items,110.0,170.0,140.68,11735,147.06,14858,-6.38,Cents Per Lb,Pounds
2023-06-01,Backs and Necks Stripped,11.0,14.0,12.25,5566,11.86,7605,0.39,Cents Per Lb,Pounds
2023-06-01,Breast - B/S,97.0,267.0,130.47,8393,137.0,10207,-6.53,Cents Per Lb,Pounds
2023-06-01,Breast - Line Run,116.0,122.0,120.2,668,119.58,820,0.62,Cents Per Lb,Pounds
2023-06-01,Breast With Ribs,120.0,166.0,140.74,481,144.17,542,-3.43,Cents Per Lb,Pounds
2023-06-01,Drumsticks,29.0,37.0,34.26,3922,37.53,12670,-3.27,Cents Per Lb,Pounds
2023-06-01,Frames,4.0,9.0,6.03,5440,9.85,9506,-3.82,Cents Per Lb,Pounds
2023-06-01,Gizzards and Hearts,64.0,79.0,75.05,287,73.56,419,1.49,Cents Per Lb,Pounds
2023-06-01,Leg Quarters - 4/10,40.0,45.0,42.5,240,,,,Cents Per Lb,Pounds
2023-06-01,Leg quarters - Bulk,30.0,43.5,42.1,14736,43.23,14036,-1.13,Cents Per Lb,Pounds
2023-06-01,Legs - Bone-in,62.0,76.0,69.13,1638,70.97,2061,-1.84,Cents Per Lb,Pounds
2023-06-01,Livers,61.0,68.0,62.26,349,62.27,450,-0.01,Cents Per Lb,Pounds
2023-06-01,Mechanically Separated,22.0,34.0,29.55,1971,33.02,2673,-3.47,Cents Per Lb,Pounds
2023-06-01,RTC Broiler/Fryer,115.0,170.0,133.22,12343,140.02,15645,-6.8,Cents Per Lb,Pounds
2023-06-01,Tenderloins,176.0,244.0,195.89,3922,190.93,4915,4.96,Cents Per Lb,Pounds
2023-06-01,Thighs - B/S,99.0,156.0,135.51,2910,136.74,3812,-1.23,Cents Per Lb,Pounds
2023-06-01,Thighs - Bone-in,60.0,65.0,62.15,212,62.91,230,-0.76,Cents Per Lb,Pounds
2023-06-01,WOG,110.0,163.0,140.26,10850,146.79,14005,-6.53,Cents Per Lb,Pounds
2023-06-01,Wings - Cut,91.0,130.0,113.82,944,117.54,875,-3.72,Cents Per Lb,Pounds
2023-06-01,Wings - Whole,71.0,104.0,88.68,3182,88.92,3934,-0.24,Cents Per Lb,Pounds
2023-07-01,ALL Items,67.0,158.0,118.48,40830,135.21,42136,-16.73,Cents Per Lb,Pounds
2023-07-01,All Items,84.0,158.0,124.66,11102,140.68,11735,-16.02,Cents Per Lb,Pounds
2023-07-01,Backs and Necks Stripped,11.0,13.0,12.59,5110,12.25,5566,0.34,Cents Per Lb,Pounds
2023-07-01,Breast - B/S,105.0,115.0,109.4,1724,,,,Cents Per Lb,Pounds
2023-07-01,Breast - Line Run,116.0,120.0,117.99,642,120.2,668,-2.21,Cents Per Lb,Pounds
2023-07-01,Breast With Ribs,115.0,163.0,142.12,467,140.74,481,1.38,Cents Per Lb,Pounds
2023-07-01,Drumsticks,29.5,38.0,35.6,5440,34.26,3922,1.34,Cents Per Lb,Pounds
2023-07-01,Frames,3.0,7.0,4.52,6920,6.03,10880,-1.51,Cents Per Lb,Pounds
2023-07-01,Gizzards and Hearts,66.0,77.0,74.66,296,75.05,287,-0.39,Cents Per Lb,Pounds
2023-07-01,Leg Quarters - 4/10,40.0,42.0,41.12,1320,42.5,240,-1.38,Cents Per Lb,Pounds
2023-07-01,Leg quarters - Bulk,30.0,48.0,39.33,15874,42.1,14736,-2.77,Cents Per Lb,Pounds
