confirmation_date,state,county,flock_type,species,flock_size
2026-02-18,South Dakota,Charles Mix,Commercial Turkey Meat Bird,,55600
2026-02-19,Indiana,Elkhart,Commercial Duck Meat Bird,,3000
2026-02-19,Indiana,Boone,Commercial Turkey Breeder Hens,,18700
2026-02-19,New York,Orange,WOAH Non-Poultry,,40
2026-02-19,Pennsylvania,Lancaster,WOAH Poultry,,4900
2026-02-19,Pennsylvania,Lancaster,WOAH Poultry,,39300
2026-02-19,Pennsylvania,Lancaster,WOAH Poultry,,41000
2026-02-20,Pennsylvania,Lancaster,Commercial Broiler Production,,157300
2026-02-20,Pennsylvania,Lancaster,Commercial Duck Meat Bird,,4500
2026-02-23,South Carolina,Lee,Commercial Turkey Meat Bird,,36400
2026-02-24,Illinois,Perry,WOAH Poultry,,100
2026-02-24,Kansas,Pottawatomie,Commercial Table Egg Breeder,,24000
2026-02-24,Pennsylvania,Lancaster,Commercial Broiler Production,,164000
2026-02-24,South Dakota,Beadle,Commercial Turkey Meat Bird,,50400
2026-02-25,Indiana,Daviess,Commercial Turkey Meat Bird,,30000
2026-02-25,New Jersey,Ocean,WOAH Non-Poultry,,40
2026-02-25,Oklahoma,Kingfisher,WOAH Non-Poultry,,20
2026-02-26,Iowa,Van Buren,WOAH Non-Poultry,,50
2026-02-26,Maryland,Caroline,Commercial Broiler Production,,59900
2026-02-26,New York,Queens,Live Bird Market,,1300
2026-02-27,Delaware,Kent,Commercial Broiler Production,,32800
2026-02-27,Indiana,Lagrange,Commercial Duck Breeder,,3800
2026-02-27,Indiana,Lagrange,Commercial Duck Meat Bird,,6300
2026-02-27,Indiana,Lagrange,WOAH Poultry,,19900
2026-02-27,Indiana,Lagrange,WOAH Poultry,,23700
2026-02-27,Iowa,Keokuk,WOAH Non-Poultry,,90
2026-02-27,Kansas,Sedgwick,WOAH Non-Poultry,,30
2026-02-27,Massachusetts,Dukes,WOAH Non-Poultry,,30
2026-02-27,North Carolina,Hyde,Commercial Table Egg Layer,,3263100
2026-02-27,Wisconsin,Jefferson,Commercial Table Egg Layer,,1220000
2026-03-02,Colorado,Weld,WOAH Poultry,,70
2026-03-02,Delaware,Sussex,WOAH Non-Poultry,,4
2026-03-02,Maryland,Caroline,Commercial Broiler Production,,95600
2026-03-02,New Jersey,Monmouth,WOAH Non-Poultry,,9
2026-03-02,New York,Kings,Live Bird Market,,560
2026-03-03,Florida,Orange,Live Bird Market,,230
2026-03-03,Illinois,Crawford,Commercial Turkey Meat Bird,,20400
2026-03-03,Indiana,Lagrange,Commercial Duck Meat Bird,,10500
2026-03-03,Indiana,Hendricks,WOAH Non-Poultry,,60
2026-03-03,Indiana,Crawford,WOAH Poultry,,49700
2026-03-04,Iowa,Washington,WOAH Non-Poultry,,50
2026-03-04,Wisconsin,Dane,WOAH Non-Poultry,,50
2026-03-05,Illinois,Lawrence,Commercial Turkey Meat Bird,,52600
2026-03-05,Indiana,Elkhart,WOAH Poultry,,18700
2026-03-05,Iowa,Buena Vista,WOAH Non-Poultry,,40
2026-03-06,Illinois,Lawrence,Commercial Turkey Meat Bird,,7900
2026-03-06,New York,Kings,Live Bird Market,,0
2026-03-06,Pennsylvania,Lancaster,Commercial Table Egg Layer,,175000
2026-03-09,Indiana,Elkhart,Commercial Duck Meat Bird,,11500
2026-03-09,Indiana,Elkhart,WOAH Poultry,,16300
2026-03-09,Indiana,Lagrange,WOAH Poultry,,3000
2026-03-09,Kansas,Sedgwick,WOAH Non-Poultry,,80
2026-03-09,New York,Queens,Live Bird Market,,40
2026-03-09,Tennessee,Hawkins,WOAH Non-Poultry,,100
2026-03-10,Indiana,Elkhart,Commercial Duck Meat Bird,,12900
2026-03-10,Indiana,Elkhart,Commercial Duck Meat Bird,,7900
2026-03-10,Indiana,Lagrange,Commercial Duck Meat Bird,,7400
2026-03-10,Indiana,Jay,Commercial Turkey Meat Bird,,20600
2026-03-10,Indiana,Lagrange,WOAH Poultry,,29100
2026-03-10,Wisconsin,Walworth,Commercial Table Egg Layer,,1493600
2026-03-10,Wisconsin,Jefferson,Commercial Table Egg Pullets,,1621800
2026-03-11,Indiana,Elkhart,Commercial Duck Meat Bird,,14700
2026-03-11,Indiana,Elkhart,Commercial Duck Meat Bird,,7000
2026-03-11,Indiana,Lagrange,Commercial Duck Meat Bird,,7700
2026-03-11,Indiana,Lagrange,Commercial Duck Meat Bird,,8000
2026-03-11,Nebraska,Valley,WOAH Non-Poultry,,20
2026-03-11,New York,Queens,Live Bird Market,,0
2026-03-12,Michigan,Kent,Commercial Turkey Meat Bird,,26700
2026-03-12,New York,Kings,Live Bird Market,,300
2026-03-12,New York,Kings,Live Bird Market,,400
2026-03-12,New York,Kings,Live Bird Market,,490
2026-03-12,Pennsylvania,Lancaster,Commercial Broiler Production,,34900
2026-03-13,Maryland,Cecil,Commercial Table Egg Pullets,,354100
2026-03-13,Michigan,Kent,Commercial Turkey Meat Bird,,51700
2026-03-16,Indiana,Elkhart,Commercial Duck Meat Bird,,7600
2026-03-17,Indiana,Adams,Commercial Duck Breeder,,2800
2026-03-17,Indiana,Jay,Commercial Duck Breeder,,3100
2026-03-17,Indiana,Elkhart,Commercial Duck Meat Bird,,6900
2026-03-17,Indiana,Elkhart,WOAH Poultry,,19600
2026-03-17,Ohio,Portage,WOAH Non-Poultry,,20
2026-03-17,Pennsylvania,Lancaster,Commercial Table Egg Layer,,870000
2026-03-19,Indiana,Elkhart,Commercial Duck Meat Bird,,14500
2026-03-19,Indiana,Lagrange,WOAH Poultry,,19300
2026-03-19,Washington,Skagit,WOAH Non-Poultry,,270
