release_date,hatchability_pct
2009-06-10,85
2009-07-08,84
2010-03-10,83
2010-03-17,83
2010-03-24,83
2010-03-31,83
2010-04-07,83
2010-04-14,84
2010-04-21,84
2010-04-28,84
2010-05-05,84
2010-05-12,84
2010-05-19,84
2010-05-26,84
2010-06-02,84
2010-06-09,84
2010-06-16,84
2010-06-23,84
2010-06-30,84
2010-07-07,84
2010-07-14,84
2010-07-21,84
2010-07-28,84
2010-08-04,84
2010-08-11,84
2010-08-18,84
2010-08-25,84
2010-09-01,84
2010-09-08,84
2010-09-15,84
2010-09-22,84
2010-09-29,83
2010-10-06,84
2010-10-13,84
2010-10-20,84
2010-10-27,84
2010-11-03,84
2010-11-10,84
2010-11-17,84
2010-11-24,84
2010-12-01,84
2010-12-08,84
2010-12-15,84
2010-12-22,84
2010-12-29,84
2011-01-05,83
2011-01-12,83
2011-01-19,83
2011-01-26,84
2011-02-02,83
2011-02-09,83
2011-02-16,83
2011-02-23,83
2011-03-02,84
2011-03-09,83
2011-03-16,84
2011-03-23,84
2011-03-30,84
2011-04-06,84
2011-04-13,84
2011-04-20,84
2011-04-27,84
2011-05-04,84
2011-05-11,84
2011-05-18,85
2011-05-25,84
2011-06-01,84
2011-06-08,84
2011-06-15,84
2011-06-22,84
2011-06-29,84
2011-07-06,84
2011-07-13,85
2011-07-20,84
2011-07-27,85
2011-08-03,85
2011-08-10,85
2011-08-17,85
2011-08-24,85
2011-08-31,85
2011-09-07,85
2011-09-14,85
2011-09-21,85
2011-09-28,85
2011-10-05,85
2011-10-12,85
2011-10-19,85
2011-10-26,85
2011-11-02,84
2011-11-09,85
2011-11-16,85
2011-11-23,85
2011-11-30,85
2011-12-07,85
2011-12-14,85
2011-12-21,85
2011-12-28,85
2012-01-04,85
2012-01-11,85
2012-01-18,85
2012-01-25,85
2012-02-01,85
2012-02-08,85
2012-02-15,85
2012-02-22,85
2012-02-29,85
2012-03-07,85
2012-03-14,85
2012-03-21,85
2012-03-28,85
2012-04-04,85
2012-04-11,85
2012-04-18,85
2012-04-25,85
2012-05-02,85
2012-05-09,84
2012-05-16,85
2012-05-23,85
2012-05-30,85
2012-06-06,85
2012-06-13,85
2012-06-20,85
2012-06-27,85
2012-07-05,85
2012-07-11,85
2012-07-18,85
2012-07-25,85
2012-08-01,85
2012-08-08,85
2012-08-15,85
2012-08-22,85
2012-08-29,85
2012-09-05,84
2012-09-12,85
2012-09-19,85
2012-09-26,85
2012-10-03,85
2012-10-10,85
2012-10-17,85
2012-10-24,85
2012-10-31,85
2012-11-07,85
2012-11-14,85
2012-11-21,85
2012-11-28,85
2012-12-05,85
2012-12-12,85
2012-12-19,85
2012-12-27,85
2013-01-03,85
2013-01-09,85
2013-01-16,85
2013-01-23,85
2013-01-30,84
2013-02-06,84
2013-02-13,84
2013-02-20,84
2013-02-27,84
2013-03-06,84
2013-03-13,84
2013-03-20,84
2013-03-27,84
2013-04-03,84
2013-04-10,84
2013-04-17,84
2013-04-24,84
2013-05-01,84
2013-05-08,84
2013-05-15,84
2013-05-22,84
2013-05-30,84
2013-06-05,84
2013-06-12,84
2013-06-19,84
2013-06-26,84
2013-07-03,84
2013-07-10,84
2013-07-17,84
2013-07-24,84
2013-07-31,84
2013-08-07,84
2013-08-14,84
2013-08-21,84
2013-08-28,84
2013-09-04,84
2013-09-11,84
2013-09-18,84
2013-09-25,84
2013-10-23,84
2013-10-30,84
2013-11-06,84
2013-11-13,84
2013-11-20,84
2013-11-27,84
2013-12-04,84
2013-12-11,83
2013-12-18,83
2013-12-26,83
2014-01-02,84
2014-01-08,83
2014-01-15,83
2014-01-22,83
2014-01-29,83
2014-02-05,83
2014-02-12,83
2014-02-19,83
2014-02-26,83
2014-03-05,83
2014-03-12,83
2014-03-19,83
2014-03-26,83
2014-04-02,83
2014-04-09,83
2014-04-16,83
2014-04-23,83
2014-04-30,83
2014-05-07,83
2014-05-14,83
2014-05-21,83
2014-05-29,83
2014-06-04,83
2014-06-11,83
2014-06-18,83
2014-06-25,83
2014-07-02,83
2014-07-09,83
2014-07-16,83
2014-07-23,83
2014-07-30,83
2014-08-06,83
2014-08-13,83
2014-08-20,83
2014-08-27,83
2014-09-04,83
2014-09-10,83
2014-09-17,84
2014-09-24,83
2014-10-01,83
2014-10-08,83
2014-10-15,83
2014-10-22,84
2014-10-29,83
2014-11-05,83
2014-11-13,83
2014-11-19,84
2014-11-26,83
2014-12-03,83
2014-12-10,83
2014-12-17,83
2014-12-24,83
2014-12-31,83
2015-01-07,83
2015-01-14,84
2015-01-21,83
2015-01-28,83
2015-02-04,83
2015-02-11,83
2015-02-18,83
2015-02-25,83
2015-03-04,83
2015-03-11,83
2015-03-18,83
2015-03-25,83
2015-04-01,83
2015-04-08,83
2015-04-15,83
2015-04-22,84
2015-04-29,84
2015-05-06,84
2015-05-13,84
2015-05-20,84
2015-05-28,84
2015-06-03,84
2015-06-10,84
2015-06-17,84
2015-06-24,84
2015-07-01,84
2015-07-08,84
2015-07-15,84
2015-07-22,84
2015-07-29,84
2015-08-05,84
2015-08-12,84
2015-08-19,84
2015-08-26,84
2015-09-02,84
2015-09-10,84
2015-09-16,84
2015-09-23,84
2015-09-30,84
2015-10-07,84
2015-10-14,84
2015-10-21,84
2015-10-28,83
2015-11-04,84
2015-11-12,84
2015-11-18,84
2015-11-25,84
2015-12-02,84
2015-12-09,84
2015-12-16,84
2015-12-23,84
2015-12-30,84
2016-01-06,84
2016-01-13,84
2016-01-20,84
2016-01-27,84
2016-02-03,84
2016-02-10,84
2016-02-17,83
2016-02-24,83
2016-03-02,84
2016-03-09,84
2016-03-16,84
2016-03-23,84
2016-03-30,84
2016-04-06,84
2016-04-13,84
2016-04-20,84
2016-04-27,84
2016-05-04,84
2016-05-11,84
2016-05-18,84
2016-05-25,84
2016-06-02,84
2016-06-08,84
2016-06-15,84
2016-06-22,84
2016-06-29,84
2016-07-06,84
2016-07-13,84
2016-07-20,84
2016-07-27,84
2016-08-03,84
2016-08-10,84
2016-08-17,84
2016-08-24,84
2016-08-31,84
2016-09-08,84
2016-09-14,84
2016-09-21,84
2016-09-28,84
2016-10-05,84
